"Date","AAPL","AMZN","FB","GOOG","IBM","MSFT","NFLX","NVDA","TSLA","TWTR"
"2020-01-08",75.148521,1891.969971,215.220001,1404.319946,128.567429,158.411835,339.26001,239.984009,98.428001,33.049999
"2020-01-09",76.744728,1901.050049,218.300003,1419.829956,129.926178,160.390869,335.660004,242.619659,96.267998,33.220001
"2020-01-10",76.918221,1883.160034,218.059998,1429.72998,129.878662,159.648727,329.049988,243.917511,95.629997,32.779999
"2020-01-13",78.561531,1891.300049,221.910004,1439.22998,129.793167,161.568405,338.920013,251.56488,104.972,32.689999
"2020-01-14",77.500702,1869.439941,219.059998,1430.880005,129.052017,160.43045,338.690002,246.872635,107.584,32.82
"2020-01-15",77.168564,1862.02002,221.149994,1439.199951,129.812149,161.469452,339.070007,245.165436,103.699997,33.23
"2020-01-16",78.135223,1877.939941,221.770004,1451.699951,131.104385,164.428116,338.619995,248.519913,102.697998,34.189999
"2020-01-17",79.000244,1864.719971,222.139999,1480.390015,131.417938,165.348358,339.670013,248.869354,102.099998,34.220001
"2020-01-21",78.464882,1892,221.440002,1484.400024,132.235092,164.754654,338.109985,247.531555,109.440002,34.09
"2020-01-22",78.744957,1887.459961,221.320007,1485.949951,136.719879,163.963043,326,249.697983,113.912003,34.02
"2020-01-23",79.124184,1884.579956,219.759995,1486.650024,135.750717,164.972351,349.600006,252.443451,114.440002,33.889999
"2020-01-24",78.896149,1861.640015,217.940002,1466.709961,133.555817,163.309952,353.160004,250.067352,112.963997,33.189999
"2020-01-27",76.576187,1828.339966,214.869995,1433.900024,131.712494,160.578888,342.880005,239.804306,111.603996,32.779999
"2020-01-28",78.742477,1853.25,217.789993,1452.560059,132.596146,163.725555,348.519989,247.561493,113.379997,33.419998
"2020-01-29",80.390747,1858,223.229996,1458.630005,130.828842,166.278503,343.160004,245.135498,116.197998,33.630001
"2020-01-30",80.274246,1870.680054,209.529999,1455.839966,129.954681,170.968826,347.73999,245.40506,128.162003,33.220001
"2020-01-31",76.714989,2008.719971,201.910004,1434.22998,136.567856,168.445557,345.089996,236.040497,130.113998,32.48
"2020-02-03",76.504311,2004.199951,204.190002,1485.939941,138.981308,172.552048,358,239.934097,156,33.07
"2020-02-04",79.029999,2049.669922,209.830002,1447.069946,141.679779,178.231873,369.01001,246.722885,177.412003,33.959999
"2020-02-05",79.674438,2039.869995,210.110001,1448.22998,148.539993,178.014191,369.670013,250.346893,146.940002,33.389999
"2020-02-06",80.606384,2050.22998,210.850006,1476.22998,148.948563,181.705093,366.950012,253.831161,149.792007,38.41
"2020-02-07",79.510727,2079.280029,212.330002,1479.22998,147.287613,181.962357,366.769989,251.175537,149.613998,37.029999
"2020-02-10",79.888359,2133.909912,213.059998,1508.680054,148.266891,186.721939,371.070007,262.536804,154.255997,35.959999
"2020-02-11",79.406372,2150.800049,207.190002,1508.790039,147.354797,182.506607,373.690002,267.448669,154.876007,35.650002
"2020-02-12",81.292099,2160,210.759995,1518.27002,149.111786,182.773773,380.01001,272.091034,153.457993,36.790001
"2020-02-13",80.713219,2149.870117,213.139999,1514.660034,148.151688,181.784271,381.399994,270.333923,160.800003,37.16
"2020-02-14",80.733086,2134.870117,214.179993,1520.73999,144.68576,183.407059,380.399994,289.312592,160.005997,36.91
"2020-02-18",79.254822,2155.669922,217.800003,1519.670044,145.069794,185.267365,387.779999,296.081451,171.679993,38.060001
"2020-02-19",80.402649,2170.219971,217.490005,1526.689941,144.839371,185.822998,386.190002,314.18161,183.483994,38.77
"2020-02-20",79.577805,2153.100098,214.580002,1518.150024,145.184998,182.985229,386,308.191467,179.882004,39.049999
"2020-02-21",77.776558,2095.969971,210.179993,1485.109985,143.860077,177.200607,380.070007,293.585571,180.199997,38.310001
"2020-02-24",74.082146,2009.290039,200.720001,1421.589966,140.586151,169.560516,368.700012,272.829834,166.757996,35.889999
"2020-02-25",71.572823,1972.73999,196.770004,1388.449951,136.05455,166.762451,360.089996,261.618317,159.981995,35.209999
"2020-02-26",72.708221,1979.589966,197.199997,1393.180054,134.17276,168.8461,379.23999,267.209076,155.759995,34.630001
"2020-02-27",67.955421,1884.300049,189.75,1318.089966,127.79776,156.949387,371.709991,252.334732,135.800003,33.009998
"2020-02-28",67.915665,1883.75,192.470001,1339.329956,124.955879,160.749588,369.029999,269.786346,133.598007,33.200001
"2020-03-02",74.238663,1953.949951,196.440002,1389.109985,128.940277,171.445724,381.049988,276.139679,148.723999,35.82
"2020-03-03",71.880898,1908.98999,185.889999,1341.390015,123.755768,163.230148,368.769989,265.610779,149.102005,34.93
"2020-03-04",75.215065,1975.829956,191.759995,1386.52002,128.863464,169.223145,383.790009,284.211243,149.899994,36
"2020-03-05",72.775307,1924.030029,185.169998,1319.040039,124.379829,164.97644,372.779999,273.002991,144.908005,34.970001
"2020-03-06",71.808846,1901.089966,181.089996,1298.410034,122.632469,160.313034,368.970001,265.76062,140.695999,33.459999
"2020-03-09",66.129333,1800.609985,169.5,1215.560059,113.108353,149.448196,346.48999,245.182236,121.599998,32.459999
"2020-03-10",70.892075,1891.819946,178.190002,1280.390015,119.790596,159.668076,364.130005,260.805786,129.065994,34.310001
"2020-03-11",68.429955,1820.859985,170.240005,1215.410034,113.261971,152.434784,349.920013,246.211151,126.846001,31.299999
"2020-03-12",61.672176,1676.609985,154.470001,1114.910034,98.706985,137.978134,315.25,216.082809,112.110001,26.780001
"2020-03-13",69.061012,1785,170.279999,1219.72998,103.641853,157.594345,336.299988,240.587051,109.323997,29.290001
"2020-03-16",60.176525,1689.150024,146.009995,1084.329956,95.125847,134.36647,298.839996,196.19371,89.014,24.040001
"2020-03-17",62.822491,1807.839966,149.419998,1119.800049,102.393738,145.429733,319.75,217.041824,86.040001,24.48
"2020-03-18",61.284599,1830,146.960007,1096.800049,99.417458,139.307724,315.470001,202.606995,72.244003,22
"2020-03-19",60.815033,1880.930054,153.130005,1115.290039,96.335556,141.599747,332.029999,212.746323,85.528,24.129999
"2020-03-20",56.954155,1846.089966,149.729996,1072.319946,91.583107,136.281433,332.829987,205.53392,85.505997,23.950001
"2020-03-23",55.744217,1902.829956,148.100006,1056.619995,90.987846,134.922089,360.269989,212.466629,86.858002,24.690001
